Date,Open,High,Low,Close,Adj Close,Volume
01-11-2022,576.349976,585.75,574.599976,576.900024,565.903076,12069579
02-11-2022,575.900024,578.950012,569.900024,573.849976,562.911194,10241440
03-11-2022,569,587.950012,568,584.900024,573.75061,17557998
04-11-2022,586,596.950012,580.400024,593.950012,582.628052,25759031
07-11-2022,613,622.700012,607.700012,614.150024,602.443054,44265903
09-11-2022,621,621,610.549988,615.549988,603.816284,18939854
10-11-2022,613.099976,615.099976,602.200012,605.75,594.203125,11618405
11-11-2022,617.25,619.549988,598.5,601.299988,589.837952,15525267
14-11-2022,603.950012,603.950012,591.650024,592.549988,581.254761,12957268
15-11-2022,594.299988,602.099976,592.650024,600.849976,589.396484,10286417
16-11-2022,599.950012,603.5,596,599.75,588.317505,11555749
17-11-2022,599.099976,602.75,596.150024,599.049988,587.630859,8167131
18-11-2022,601,605.75,597.150024,602.700012,591.211304,12933675
21-11-2022,602.099976,602.099976,595.349976,598.099976,586.698914,7412419
22-11-2022,598.150024,600.700012,596.150024,599.099976,587.679871,8048595
23-11-2022,601.549988,609.599976,601,607.650024,596.066956,12435924
24-11-2022,609.75,611.299988,605.799988,609.349976,597.734497,8960032
25-11-2022,610.549988,613.700012,606.25,607.400024,595.821716,9994513
28-11-2022,605.599976,610.900024,602.349976,608.599976,596.998779,7934274
29-11-2022,607.099976,611.799988,607.099976,608.549988,596.949768,6942919
30-11-2022,608.5,611.400024,598.400024,602.450012,590.966064,15606230
01-12-2022,607.849976,609.799988,601.549988,608.099976,596.508301,14209313
02-12-2022,607.5,609.599976,604.25,607.549988,595.968811,7533838
05-12-2022,608.5,618,607.549988,617.299988,605.532959,11585602
06-12-2022,614.75,619.799988,607.799988,608.950012,597.342163,12996244
07-12-2022,610.849976,612.900024,604.5,607.049988,595.478333,7613892
08-12-2022,609.75,613.799988,607.150024,611.650024,599.990662,10020015
09-12-2022,614.400024,618,609.099976,616.5,604.74823,11202267
12-12-2022,614.799988,618.700012,611,613.049988,601.363953,9285187
13-12-2022,613.5,617.400024,612.5,616.75,604.993469,7455415
14-12-2022,618.5,626.75,617.5,625.5,613.57666,14010673
15-12-2022,625.549988,629.549988,614.299988,615.950012,604.20874,10622271
16-12-2022,612,615.599976,602.099976,603.349976,591.848877,9435071
19-12-2022,604,609.5,603,604.450012,592.927917,8322012
20-12-2022,603,606.5,599.549988,604.450012,592.927917,6753785
